model,method,variation_type,wrong_count
Llama-3.2-3B-Instruct,cot,scale_tweak,21
Llama-3.2-3B-Instruct,cot,symbolic_swap,18
Llama-3.2-3B-Instruct,sc,symbolic_swap,18
Llama-3.2-3B-Instruct,cot,irrelevant_numeric,17
Llama-3.2-3B-Instruct,sc,scale_tweak,16
Llama-3.2-3B-Instruct,cot,critical_thinking,13
Llama-3.2-3B-Instruct,cot,rephrase,13
Qwen2.5-7B-Instruct,cot,rephrase,10
Qwen2.5-7B-Instruct,cot,scale_tweak,10
Qwen2.5-7B-Instruct,sc,scale_tweak,10
Qwen2.5-7B-Instruct,cot,irrelevant_numeric,10
OpenThinker-Agent-v1,cot,symbolic_swap,10
OpenThinker-Agent-v1,cot,irrelevant_numeric,9
Llama-3.2-3B-Instruct,cot,base,8
Llama-3.2-3B-Instruct,sc,base,8
Qwen2.5-7B-Instruct,cot,base,8
Qwen2.5-7B-Instruct,sc,symbolic_swap,8
OpenThinker-Agent-v1,cot,critical_thinking,8
OpenThinker-Agent-v1,cot,scale_tweak,7
OpenThinker-Agent-v1,cot,rephrase,7
Llama-3.2-3B-Instruct,sc,irrelevant_numeric,7
Qwen2.5-7B-Instruct,cot,critical_thinking,7
Qwen2.5-7B-Instruct,sc,irrelevant_numeric,7
Qwen2.5-7B-Instruct,cot,symbolic_swap,7
OpenThinker-Agent-v1,sc,symbolic_swap,6
OpenThinker-Agent-v1,cot,base,5
Qwen2.5-7B-Instruct,sc,base,5
OpenThinker-Agent-v1,sc,scale_tweak,4
OpenThinker-Agent-v1,sc,base,4
OpenThinker-Agent-v1,sc,irrelevant_numeric,4
